frameID,eventType,player1Position,player2Position,ballPosition,speed
981,,"[4.8, 46.3, 0.0]","[-3.53, -46.83, 0.0]",,54.22914507852866
982,,"[4.3, 46.3, 0.0]","[-3.01, -46.83, 0.0]",,
983,,"[4.2, 46.3, 0.0]","[-2.5, -46.83, 0.0]",,
984,,"[3.4, 46.3, 0.0]","[-2.6, -46.83, 0.0]",,
985,,"[3.1, 46.3, 0.0]","[-1.98, -46.83, 0.0]",,
986,,"[3.2, 46.3, 0.0]","[-1.68, -46.83, 0.0]",,
987,,"[3.5, 46.3, 0.0]","[-1.68, -46.83, 0.0]",,
988,,"[3.8, 46.3, 0.0]","[-1.37, -46.83, 0.0]",,
989,,"[3.7, 46.3, 0.0]","[-1.26, -45.28, 0.0]",,
990,,"[3.7, 46.3, 0.0]","[-1.36, -45.28, 0.0]",,
991,,"[3.9, 46.3, 0.0]","[-1.36, -45.28, 0.0]",,
992,,"[4.1, 46.3, 0.0]","[-1.97, -45.27, 0.0]",,
993,,"[4.2, 46.3, 0.0]","[-1.98, -46.83, 0.0]",,
994,,"[4.2, 46.3, 0.0]","[-0.85, -48.44, 0.0]",,
995,p2cp,"[4.3, 46.3, 0.0]","[-0.96, -48.44, 0.0]","[-3.01, -46.83, 3.3]",
996,,"[4.3, 46.3, 0.0]","[-0.65, -45.28, 0.0]",,
997,,"[4.4, 46.3, 0.0]","[-0.55, -45.28, 0.0]",,
998,,"[4.3, 46.3, 0.0]","[-0.65, -45.28, 0.0]",,
999,,"[4.2, 46.3, 0.0]","[-0.75, -45.28, 0.0]",,
1000,,"[4.2, 46.3, 0.0]","[-0.75, -45.28, 0.0]",,
1001,,"[4.2, 46.3, 0.0]","[-0.75, -48.44, 0.0]",,
1002,,"[4.1, 46.3, 0.0]","[-0.65, -46.84, 0.0]",,
1003,,"[4.0, 46.3, 0.0]","[-0.54, -46.84, 0.0]",,
1004,,"[4.0, 46.3, 0.0]","[-0.44, -46.84, 0.0]",,
1005,,"[4.0, 46.3, 0.0]","[-0.44, -48.44, 0.0]",,
1006,,"[4.1, 46.3, 0.0]","[-0.33, -48.44, 0.0]",,
1007,,"[4.3, 46.3, 0.0]","[-0.23, -48.44, 0.0]",,
1008,,"[4.5, 46.3, 0.0]","[-0.33, -48.44, 0.0]",,
1009,,"[4.8, 46.3, 0.0]","[-0.33, -48.44, 0.0]",,
1010,,"[5.0, 46.3, 0.0]","[-0.34, -46.84, 0.0]",,
